u,v,rank,edge_betweenness
02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,02cfda4768450a63d33120d08180a4aaf727a19d264262ddc88a6904b6f4766fd4,13280,3.35849216846037e-05
0207e84c3f26846744509c76cdd8215119d88e4e07b8f885f3657025fcb49bb728,03c1a4a429bec19c8f86b799ebb06583188f74dd0626f69f8303ff7f53cdc51110,15170,2.4703860617654507e-05
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,03c59df9f9a4e543394843e44105fcdff9f64fd68437ee49be1b162c340e4055e1,3742,0.00017932389199594228
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,03038c30c32821a3f61eb37d64347575bda0c609fa0b4238d45a138947e1f4edce,16472,1.960587499203475e-05
025054cd53f3fb15384679da8d6eb9afa1369c13b3836ff3a8b5e11bc4cccb4c47,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,5895,0.00011014031248429449
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,02875ac2c27835990ef62e5755c34264b2c39f51a41525adc5e52a7f94b3a19f8b,10173,5.462017343905269e-05
02cf3cc45d8fee5055c4ba5a58fe22ae973685fa2cb43e2c5b6454eaa1d08066a8,032271efcb35188ef00e3f28469a2bb18b50a5f2f325bd130bdac341af24e9b5f0,18939,1.1882842766442882e-05
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,032a65fc24a44ba4334fe69ef9bbc07e299e5be956e4332347649312bebd51a82e,12272,3.9229114292642895e-05
02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,03aff7509b0384b9dea9155282370c609796e3a33422b809f5574b52255487b4e0,7814,8.009077020600645e-05
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03672c0f6e9567a5b3ecd01c851d0971cf0d049c49ed4a5ba22e683f24169e32f5,8330,7.339036891505579e-05
