rank,u,v,edge_betweenness
1,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0.008491339176859916
2,032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0.004778547707123137
3,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,0.004504603038472986
4,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0.0044047952120045315
5,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0.004262278177465648
6,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0.004097544019064425
7,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,0.0030946162587554516
8,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,0.002998525187890385
9,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,0.002991538024377217
10,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,0.0029545811921248165
11,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,0.002828509540021951
12,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,0.0026982866827628856
13,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,0.0026748567249087786
14,03537fe9ed61f81500793ab65f88ed2486e98592783faa5cdef14feb2fe632164b,03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,0.0026517605212056524
15,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,0.0024926761713187444
16,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,0.002484768087290079
17,0372d0986edbdc5c3c6b5e94ee3c56aff6739a1f8b8d24f6c74c65b7d3dec53cde,03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,0.002376193894596252
18,0246d2ba1d4191b743cccc0c09cffe59d5ac35acd53fe11e8f89f649c8ab25f8de,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,0.0023494188094399467
19,029796d2cddc880f91d653ab6774626b80a4fda3a8ff12eeda33d14e9dc81d1098,0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,0.0023494188094399446
20,02cd0d956addce4e16f5325b81d70dfa31c06b80801aa993525e866b8c460ee640,030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,0.0023494188094399446
21,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,033c18058dea9758e7cbe617896e8958a1b824705bf3fed5cba14bd67959d79e05,0.0023494188094399446
22,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,029777a5bba7bbb15a85b9f03fe2d42be97b6edc6028939731e6e5da470929d867,0.0023494188094399446
23,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,029d42ed078a734d16d79dd608817508d1b07f4733522ca2283a7486587ec35a90,0.0023494188094399446
24,034201357a0c4bf1d78c905a06054945574a44be0bf0cd8630e273fdc0918ae6ae,03555a11db2e0c3a97571ba144076adac8513d68a2cdf19580e2dcc54b25b78a3a,0.002349418809439944
25,0372d5fd9ca5567e3670fac08057270c733fc637d4a9ac412a5cc533268c62cdc5,03975535656e13c2b0b534f601d5f1f6d9ea4b13745604e8619269fd00ce927ae3,0.002349418809439944
26,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,02d5464b79792b7d6e8a10ab0e6238010f27d4e5ba076e7354411f4705559957e3,0.002349418809439944
27,02f5eb9c6a0ff88b5b7e85488d18b8280c2ab27de705e33486a9faf0454b41d8f8,030233633858a87ddedc7a15e08acefc1ed43c21f9ce13dcd8f623122d5d1c6d53,0.002349418809439944
28,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,036047db935a1c7c35089ba964aacb8c72a725d0e88d7fd1769dcaec7c3e71265e,0.002349418809439944
29,02445567c03b3e2feb0deadff5bf1df5f308c0ae539c0d742dfbc63860c69e1c05,0355b8b8a890d32405b860a40eb5ca7d49d2d969eaf0d5ebc58cdd31f6b7d14ca2,0.002349418809439944
30,02d97e94cfeedca2a3da47acb400bc6836e671b3cb3fc05bdd6993acd64483d09a,03fab7f8655169ea77d9691d4bd359e97782cb6177a6f76383994ed9c262af97a5,0.002349418809439944
31,0215f33968047401f191b2c3203ece6d5781ca7f2c018e7795d5e5ddc05c8b4ebd,03979dc2a2de957531ebd1499afa9197d22e320e9e4fbcea49010978607002fd8c,0.002349418809439944
32,0215f33968047401f191b2c3203ece6d5781ca7f2c018e7795d5e5ddc05c8b4ebd,022d89add5b1ec7b5993f9c814c7a5abb83d6baeeb242bffb0dbec1792dc0c7d9b,0.002349418809439944
33,02e81795cb29fce0d39f57aecd09db334c6b74fe74319ddbbe9abe7c30cc1db1e9,039b2d2ad8cbbe5c4f261d09cc3d7efadeae9caa926f75d4066d60742f4b0c4dd3,0.0023494188094399437
34,0354fcd9f1554f3505238e1b3c29223868953730c30b6565ad482dc31e90bcfa93,03be2ba115ae6a9454da76ee0c60d35d0576b6aef1ef8eaebcf2bcfa0edb903fbf,0.0023494188094399437
35,02e07adbecd263c0452e973fabf7ca3d9e1d79cbb5843a8a7a51df8829139ce4ac,03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,0.0023494188094399437
36,0261fe8aeb3ee5d5c5fd51aa47f6c5a7a7cf5689dd877b8df25b3d05ec8f0a439f,03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,0.0023494188094399437
37,0386b707415c53acbe1f1fb261d9de216c879a22f198cc8c3c8876921ed25fdcff,03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,0.0023494188094399437
38,03a76cbec3bbee16bfa87e1782c8e1cbda098404d1a0342d12977750f29b948608,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,0.0023494188094399437
39,02574ffa55d394b9326f6e5c15992cc0516b0d6e6a79a1318a5999ab07133683e1,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0.0023494188094399437
40,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03d79d23c07a0c1dbc496e58147bcc6f08b2fa570e5b78ec38257e3f7249ef9d46,0.0023494188094399437
41,022d73890548be3625f822f0294d1c30934c6063df8904bafc70224920e14f10e7,03db39d2f0bff36f69969807f54829e82073afb88f0fd2996e61d245a797169a28,0.0023494188094399437
42,022c699df736064b51a33017abfc4d577d133f7124ac117d3d9f9633b6297a3b6a,02da0e51edfd5ce0d4092ae69f1c120d0a8be49df962928d080f265400e2c6106f,0.0023494188094399437
43,025edadc48c6d4cc6d46461b915a1e4523f371070abdc2deff789a321668ba9ea2,033ac2f9f7ff643c235cc247c521663924aff73b26b38118a6c6821460afcde1b3,0.0023494188094399437
44,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03be3ff8c7379b2208276c8ef0afd72fe3c5fe41f41ae95154d52c0becb92a20e6,0.0023494188094399437
45,0224b29562ece3b5284c977b9ca82cdc0074938e74cf6db55e562b917ee5b1f9ee,02fa50c72ee1e2eb5f1b6d9c3032080c4c864373c4201dfa2966aa34eee1051f97,0.0023494188094399437
46,030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,034bfc6f6dd56f6cbe64b416f2ba0128fbc3cc63d9fe69cdec6ac1b7616df12b46,0.0023494188094399437
47,0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,039fb88ffd5acc79198c12df1a5bb3c59a426d27e9fcf258123ec8b7891fe80fc2,0.0023494188094399437
48,022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,027eae72368a57dc9d0c26de4fce5637117e7968f422bdca3d169704fadf8b436b,0.0023494188094399437
49,0354a7d874dec4b0ae39c4759c69f3e9c38b8a02e9da5b4ecf50317859773de9ec,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,0.0023494188094399437
50,0327e003e3c742db9a77f436e672bd42bd4a302ec0f92f0486c4fe09143bcfb0b9,03c766c806d84d6da0c52ce4ff8a0a3c4b869c06fb13e4fc352b44dd545e267dd4,0.0023494188094399437
